,pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
512,236,1058,23,12212,100073554,3036,17757.38
513,236,1119,23,12212,100073554,9,53.14
514,236,1120,23,12212,100073554,8,47.07
515,236,1121,23,12212,100073554,4,23.37
516,236,1122,23,12212,100073554,11,64.34
517,236,1381,23,12212,100073554,28,163.73
518,236,1383,23,12212,100073554,17,99.37
519,236,1386,23,12212,100073554,3,17.52
520,236,1582,23,12212,100073554,12,70.14
521,236,1583,23,12212,100073554,12,70.18
522,236,1769,23,12203,100073600,198,6765.66
523,244,10071,23,12203,100073600,57,1415.0
524,244,10081,23,12203,100073600,12,297.39
525,235,1026,23,12203,100073600,49,9755.71
526,196,10298,23,12203,100073600,1488,155842.54
527,196,10299,23,12203,100073600,17,1795.36
528,196,10300,23,12203,100073600,36,3792.25
529,196,10301,23,12203,100073600,9,953.87
530,196,10310,23,12203,100073600,4,361.98
531,196,10319,23,12203,100073600,10,1053.35
532,196,10322,23,12203,100073600,48,5043.53
533,196,10308,23,12203,100073600,7,737.13
534,196,10334,23,12203,100073600,16,1689.43
535,196,10335,23,12203,100073600,6,539.2
536,236,1775,23,12203,100073600,540,18568.21
537,215,972,22,11010,100074186,-1,-166.62
538,215,983,22,11010,100074186,18,2997.19
539,215,1002,22,11010,100074186,19,3120.22
540,215,1003,22,11010,100074186,48,7988.05
541,223,1578,22,11010,100074186,14,255496.0
542,223,1639,22,11010,100074186,42,763587.0
543,236,1011,22,11010,100074186,8,1775.07
544,236,1012,22,11010,100074186,8,1781.93
545,236,1015,22,11010,100074186,1,220.87
546,236,1016,22,11010,100074186,1,221.18
547,236,1026,22,11010,100074186,9,1990.43
548,236,1028,22,11010,100074186,15,3315.47
549,236,1058,22,11010,100074186,12,2654.55
550,236,1119,22,11010,100074186,4,883.77
551,236,1120,22,11010,100074186,3,662.83
552,236,1121,22,11010,100074186,4,883.41
553,236,1381,22,11010,100074186,5,1105.92
554,236,1383,22,11010,100074186,4,882.42
555,236,1385,22,11010,100074186,2,441.81
556,236,1386,22,11010,100074186,11,2431.78
557,236,1769,22,11010,100074186,342,89589.14
558,244,10071,22,11010,100074186,251,44027.87
559,244,10081,22,11010,100074186,205,39233.86
560,244,10082,22,11010,100074186,59,10721.17
561,223,1421,22,11010,100074186,5,90872.0
562,196,10298,22,11010,100074186,96,63311.25
563,196,10299,22,11010,100074186,8,5371.88
564,196,10300,22,11010,100074186,6,3873.33
565,196,10322,22,11010,100074186,23,15350.53
566,196,10308,22,11010,100074186,3,1931.77
567,196,10334,22,11010,100074186,6,3842.44
568,175,1069,22,11010,100074186,15,2635.55
569,236,1582,22,11010,100074186,7,1544.48
570,236,1583,22,11010,100074186,12,2654.46
571,236,1584,22,11010,100074186,1,221.06
572,240,1036,22,11010,100074224,7,89.84
573,240,1068,22,11010,100074224,4,51.54
574,236,1011,22,11010,100074232,29,330.18
575,236,1012,22,11010,100074232,14,159.71
576,236,1015,22,11010,100074232,12,136.75
577,236,1016,22,11010,100074232,24,274.67
578,236,1026,22,11010,100074232,83,947.1
579,236,1028,22,11010,100074232,37,421.95
580,236,1039,22,11010,100074232,12,137.08
581,236,1040,22,11010,100074232,12,137.35
582,236,1043,22,11010,100074232,12,137.09
583,236,1044,22,11010,100074232,4,45.78
584,236,1058,22,11010,100074232,7266,82688.34
585,236,1119,22,11010,100074232,8,91.57
586,236,1120,22,11010,100074232,27,308.23
587,236,1121,22,11010,100074232,12,135.43
588,236,1122,22,11010,100074232,11,125.18
589,236,1381,22,11010,100074232,15,170.86
590,236,1383,22,11010,100074232,14,159.46
591,236,1384,22,11010,100074232,14,159.53
592,236,1385,22,11010,100074232,24,274.61
593,236,1386,22,11010,100074232,17,193.69
594,236,1769,22,11010,100074232,1486,17496.34
595,244,10071,22,11010,100074232,205,1757.92
596,244,10081,22,11010,100074232,399,3401.48
597,244,10082,22,11010,100074232,259,2232.15
598,196,10298,22,11010,100074232,13810,528376.35
599,196,10299,22,11010,100074232,398,15229.36
600,196,10300,22,11010,100074232,52,1989.64
601,196,10301,22,11010,100074232,41,1568.67
